Plate Number,Date,Time
{H12DE 1433),2023-05-21,14:40:33
MH12DE1433),2023-05-21,14:40:33
HH12DE1433),2023-05-21,14:40:33
1H12DE1433),2023-05-21,14:40:33
1H12DE1433),2023-05-21,14:40:33
}H120E1433),2023-05-21,14:40:34
H12DE 1433],2023-05-21,14:40:34
(H12DE1433),2023-05-21,14:40:34
1H120E1433),2023-05-21,14:40:34
[MH 12DE1433,2023-05-21,14:40:34
WH12DE1433,2023-05-21,14:40:34
TWH 12DE1432,2023-05-21,14:40:35
MH 12DE1433,2023-05-21,14:40:35
TWH 12DE1433,2023-05-21,14:40:35
[MH 12DE1433,2023-05-21,14:40:36
HH120E1433],2023-05-21,14:40:36
H12DE1433),2023-05-21,14:40:36
1H12DE1433,2023-05-21,14:40:36
1H12DE1433],2023-05-21,14:40:36
{HH 12DE1433,2023-05-21,14:40:36
HH 12DE 1433),2023-05-21,14:40:36
MH12DE1433,2023-05-21,14:40:37
MH12DE1433,2023-05-21,14:40:37
HH 12DE143:,2023-05-21,14:40:37
WH12DE1433],2023-05-21,14:40:37
HH120E1433],2023-05-21,14:40:37
MH12DE1433,2023-05-21,14:40:37
MH 12DE1433,2023-05-21,14:40:37
WH12DE1433],2023-05-21,14:40:38
WH12DE1433,2023-05-21,14:40:38
TERISERE,2023-05-21,14:40:38
HWS St ah,2023-05-21,14:40:38
442 0t 1433),2023-05-21,14:40:38
"2 DE1433 """,2023-05-21,14:40:38
17DE1433),2023-05-21,14:40:38
sey,2023-05-21,14:40:38
4H120E1433),2023-05-21,14:40:39
MH12DE1433],2023-05-21,14:40:39
H120E1433),2023-05-21,14:40:39
1H12DE1433),2023-05-21,14:40:39
1H12DE1433),2023-05-21,14:40:39
HH12DE1433},2023-05-21,14:40:39
MH 12DE1433),2023-05-21,14:40:39
1H12DE1433},2023-05-21,14:40:39
MHI 2DE1433),2023-05-21,14:40:40
1H12DE1433),2023-05-21,14:40:40
HH12DE1433),2023-05-21,14:40:40
MH12DE1433),2023-05-21,14:40:40
NH12DE1433],2023-05-21,14:40:40
1MH12DE1433,2023-05-21,14:40:40
MH 12DE1433,2023-05-21,14:40:40
MH12DE1433],2023-05-21,14:40:41
MH12DE1433],2023-05-21,14:40:41
MH12DE1433,2023-05-21,14:40:41
MH12DE1433,2023-05-21,14:40:41
MH12DE1433,2023-05-21,14:40:41
Bn 12061433,2023-05-21,14:40:41
[KH 120E 1433,2023-05-21,14:40:41
MH12DE1433),2023-05-21,14:40:41
MH12DE1433,2023-05-21,14:40:42
HH 12061433,2023-05-21,14:40:42
MH12DE1433,2023-05-21,14:40:42
WKH 12061433,2023-05-21,14:40:42
HH 120E1433,2023-05-21,14:40:42
[HH 120E1433,2023-05-21,14:40:42
Bi HH12061433,2023-05-21,14:40:42
MH12DE1433],2023-05-21,14:40:43
Bi nize 1433,2023-05-21,14:40:43
yHH120E1433,2023-05-21,14:40:43
HH 1201433,2023-05-21,14:40:43
WKH 12DE1433,2023-05-21,14:40:43
HH12DE1433,2023-05-21,14:40:43
WH 12061433,2023-05-21,14:40:43
MH 12061433],2023-05-21,14:40:44
